date,text
"May 9, 2023","Explore Players tool now supports multi-selection filtering on column Team, Division and Position!"
"May 9, 2023","Compare Players tool now supports up to 4 players for comparison!"
"May 5, 2023","New Players Reaves, Strus, McDaniels, Portis & Simons have been added along with other data updates!"
"May 2, 2023","All data from the original game guide spreadsheet has now been migrated to NAWDB!"
"April 24, 2023","Discord information is now available on the home page! Come join us!"
